TID,CH,EN,Flags
String,String,String,String
TID_BUILDING_HOUSING,营地,,
TID_BUILDING_TOWN_HALL,城镇中心,,
TID_BUILDING_FARM,农舍,,
TID_BUILDING_FOOD_STORAGE,粮食仓库,,
TID_BUILDING_GOLD_MINE,贸易中心,,
TID_BUILDING_GOLD_STORAGE,金币仓库,,
TID_BUILDING_BARRACK,兵营,,
TID_BUILDING_LABORATORY,军械库,,
TID_BUILDING_CANNON,弩炮塔,,
TID_BUILDING_CANNON1,大炮塔,,
TID_BUILDING_CANNON2,反坦克炮,,
TID_BUILDING_ARCHER_TOWER,箭塔,,
TID_BUILDING_WALL,城墙,,
TID_BUILDING_WIZARD_TOWER,术士塔,,
TID_BUILDING_AIR_DEFENSE,防空速射炮,,
TID_BUILDING_MORTAR,投石机,,
TID_BUILDING_MORTAR1,迫击炮,,
TID_BUILDING_MORTAR2,压制火炮,,
TID_BUILDING_ALLIANCE_CASTLE,公会议事厅,,
TID_BUILDING_GENERAL_HOUSE,战争高台,,
TID_WORKER_BUILDING,工人坊,,
TID_COMM_MAST,通信塔,,
TID_GOBLIN_MAIN_BUILDING,城镇中心,,
TID_GOBLIN_HUT,工人坊,,
TID_BUILDING_TESLA_TOWER,招魂幡,,
TID_BUILDING_SPELL_FORGE,战术学院,,
TID_BUILDING_BOW,凯撒神弓,,
TID_BUILDING_ICE,冰封塔,,
TID_BUILDING_DRAGON_CANNON,火神弩,,
TID_BUILDING_FRUITTREE,果树,,
TID_BUILDING_LUMBERTREE,金矿,,
TID_BUILDING_MINE,油田,,
TID_BUILDING_GARRISON_ROMAN,罗马守备队,,
TID_BUILDING_GARRISON_CENTALASIA,新月守备队,,
TID_BUILDING_GARRISON_EASTASIA,亚美守备队,,
TID_BUILDING_GARRISON_AIR,空中守备队,,
TID_BUILDING_GARRISON_ROMAN_INFO,罗马守备队于神迹纪元前30年建立编制，以高效的适用性和机动性征服了地中海沿岸地区。初次出兵冷却为6秒。升级建筑可以提高出兵的数量和星级以及降低出兵冷却。,,
TID_BUILDING_GARRISON_CENTALASIA_INFO,新月守备队起源于神迹纪元前3500年。曾把新月旗插满了半个世界。后人称之为“新月弯刀”初次出兵冷却为6秒。升级建筑可以提高出兵的数量和星级以及降低出兵冷却。,,
TID_BUILDING_GARRISON_EASTASIA_INFO,亚美守备队起源已不详。但他训练有素、令人生畏。是每一个敌人都不愿忆起的噩梦。初次出兵冷却为6秒。升级建筑可以提高出兵的数量和星级以及降低出兵冷却。,,
TID_BUILDING_GARRISON_AIR_INFO,防御进攻时生产士兵抵御空中入侵者。初次出兵冷却为16秒。升级建筑可以提高出兵的数量和星级以及降低出兵冷却。,,
TID_BUILDING_FRUITTREE_INFO,城市里有建筑，森林中藏金矿，地壳里挖油田，山坡上有果树。使用宝石可以立即完成对果实的采集，获取果实。果实也是粮食的一种。,,
TID_BUILDING_LUMBERTREE_INFO,城市里有建筑，地壳里挖油田，山坡上有果树，森林中藏金矿。使用宝石可以立即完成对金矿的开采，获取金币。,,
TID_BUILDING_MINE_INFO,城市里有建筑，山坡上有果树，森林中藏金矿，地壳里挖油田。使用宝石可以立即完成对石油的勘探，获取石油。,,
TID_ICE_TOWER_INFO_INFO,罗马帝国的传世武器。可以将3格范围内多目标进行冰封，使其无法移动和攻击。,,
TID_BUILDING_CANNON_INFO,口径大、攻击高、火力强。非常适合对付如骑兵等血厚的入侵者。,,
TID_DRAGON_CANNON_INFO,凯撒大帝倾力打造，几乎拥有无限的射程，发射高速的弩箭攻击敌人，并能造成溅射伤害。此外，对英雄及其侍卫造成3倍伤害。,,
TID_HOUSING_INFO,建立营地，集结部队，提升营地等级可以直接提升可以出战的部队数量。战斗返回时，如果保留的士兵和训练的士兵总人口数超过营地人口上限，战斗中的兵力只会部分保留。,,
TID_TOWN_HALL_INFO,城镇中心，提升城镇中心的等级可以解锁更多建筑。,,
TID_FARM_INFO,兵马未动，粮食先行。升级你的农舍可以最大化提高粮食的产量，这将是你持续战斗最坚实的后盾。,,
TID_FOOD_STORAGE_INFO,粮食仓库可以存储您的粮食，升级粮仓可以提高粮食的存储上限。做好保护，否则老鼠和其他玩家会经常光顾。,,
TID_GOLD_MINE_INFO,防御建筑的建造及升级需要大量金币，升级贸易中心可以提高金币的产量。,,
TID_GOLD_STORAGE_INFO,金币仓库可以存储您的金币，升级仓库可以提高金币的存储上限。做好保护，否则盗贼和其他玩家会经常光顾。,,
TID_BARRACK_INFO,兵营是生产兵力的地方，升级兵营可以解锁更多高级的兵种。,,
TID_LABORATORY_INFO,军械库可以训练提升士兵的等级。甚至给你的士兵配备枪支！,,
TID_BASIC_TURRET_INFO,升级火炮可以提高火力，但是要注意，升级时火炮将无法进行攻击!,,
TID_ARCHER_TOWER_INFO,箭塔的射程较远，它不仅能攻击地面部队，空中的敌人也会遭到痛击。,,
TID_WALL_INFO,城墙是城市防御工程的基础。注意将重要建筑置于城墙保护之中，可以拖慢入侵者的进攻速度。,,
TID_WIZARD_TOWER_INFO,释放的强大咒语能够对射程范围内所有的空中和地面部队造成范围伤害。,,
TID_AIR_DEFENSE_INFO,防御城市，使其免受空中攻击。对飞行敌人有着巨大伤害，但是无法攻击地面部队。,,
TID_MORTAR_INFO,准备！发射！每次攻击需要较长的准备时间，但是带来的溅射范围杀伤效果是每一个入侵者的噩梦。注意防止入侵者过于接近。,,
TID_ALLIANCE_CASTLE_INFO,一方求援，八方支援。兵站可以容纳你从好友或者公会申请来的援军。援军可以帮助你抵抗入侵者的进攻。,,
TID_WORKER_INFO,一间工人坊供二个工人居住，工人坊越多，可以使用的工人越多。建造建筑需要同时多个工人协作。,,
TID_BUILDING_GENERAL_INFO,千兵易求，一将难遇。强大的英雄是战斗胜利的保证，建立战争高台来让英雄们出征吧！,,
TID_TESLA_TOWER_INFO,善于隐匿的战术防御建筑，往往能破坏敌人的奇袭。,,
TID_SPELL_FORGE_INFO,在这里研究毁灭敌人的卓越战术！让敌人淹没在科技和神力的能量下！,,
TID_BOW_INFO,连续发射的活力压制，让敌人头疼的防守建筑。,,
TID_WUJIANG_LOCKED,未解锁,,
TID_TITLE_WUJIANG,英雄,,
TID_WUJIANG_UNLOCK_TITLE,解锁%s,,
TID_WUJIANG_UNLOCK_HINT,是否花费%d%s解锁?,,
TID_CLICK_WUJIANG_USE,点击英雄出战,,
TID_CLICK_WUJIANG_NOT_USE,点击英雄取消出战,,
TID_MAX_WUJIANG_LEVEL,已达到满级,,
TID_BUTTON_UPGRADE_WUJIANG,升级英雄,,
TID_BUTTON_SPEEDUP,加速,,
